Message
Informasi *grand opening*  Masta dilaksanakan secara luring.
"Mau tanya, apakah info trsbt benar?"
Bener
Gelombang brkutnya tgl.brpa?
Agustus
Tgl e lupa
Saya daftar bukan Desember ikut gelombang ke 1 tapi nggak bisa hadir
"Berrti yg ngisinya stlah tgl 7, ntar tgl 25 gak usah datang?"
GForm nya yang dikirim lewat WA dan Email ya?
<Media omitted>
Owlah
"Saya lewat WA, belum sempat ngisi juga udah nggak bisa di bikak"
U
Sama
Satu server brrt ya🤣
Btw ada grup khusus informatika gak? ini kan FKI
Kalau nggak ngisi form tetep ikut kah wkwk
"Belum ada bos, tunggu dulu nanti dibuatkan ,aku juga informatika"
Ok
terus yg udah terlanjur ngisi gimana ya?
Ikut gelombang kedua jak
Sama aja
Dateng
Dari sukoharjo mana nih
Me
Kalau udh dapet wa tpi blm dapet email tetep ikut gel 1 ya?
Yg pnting dh ngisi
Ikut
Email nya sama aja isinya kek di WA
Okey makasii
Bukannya dapet akun?
Akun apaan
Akun mahasiswa
Akun ig? wkkw
Iya ada
"Tunggu aja emailnya, kmren gue juga telat"
Jadi tgl 25 tuh dateng buat grand opening MASTA PMB terus tgl 26-27 dateng lagi gitu yaa? apa enggak?🤔
berarti yang gak ngisi gform ga bisa ikut gelombang 1 kah?
"Berarti yang udah ngisi,tanggal 25 Juli harus Dateng ke edutorium UMS?"
Gtau juga nginep apa ngga
Aku malah blm isi form wkwk
gform nya wajib diisi kah?
Tgl 26 27 online
sama
udah ditutup formnya :(
Banyak juga ternyata yang belum ngisi form wkwk
Coba tanya PMB dah
Kita kan smua maba
?
Itukan ada pilihannya sanggup datang apa ngga
kurang tau kak
Okay makasih
Dipaling bawah ditanya sanggup atau tidak
Klo udh ngisi bisa datang ya jadi wajib
Ntar lo dicariin wkwk
"Acara besok cuman pengenalan aja , nggak usah di buat panik lah 🤣"
disini ada yg dari prodi ilkom ngga gais?
👌
Saya
akuu
Sya
🖐️
akuu
Akuu
Aku
Saya
aku
aku ☝🏻
aku
Saya
aku
Gile
aku
Kan buat grand opening kt ngisi form trus klau masta pmb atau imm itu yg dh ngisi tinggal ikut kah? Lokasiny sama kah?
Aku
Masta pmb online
Akuuuu
Kalo gak ngisi aman kan ?
"Kasi tau yg informatika, mana suaranya✋"
akuu
Aku
Ikut gel 2 kykny
Sayaa
hadir
"aman"" nggak bakal di makan juga"
Hadir
Hadir
Link yg sekarang untuk yg gel 1
👋
Halloo
Saiya☝🏻
